KB Seite,Deutsch,Englisch
13,die Herkunft (Sg.),
13,"das Motiv, -e",
13,"entwerfen, entwarf, hat entworfen",
13,kommentieren,
14-15,"die Alternative, -n",
14-15,"die Aufzählung, -en",
14-15,"die Einschränkung, -en",
14-15,"der Gegensatz, -¨e",
14-15,"der Geschmack, -¨er",
14-15,denselben Geschmack haben,
14-15,"das Missverständnis, -se",
14-15,"die Neuigkeit, -en",
14-15,Neuigkeiten austauschen,
14-15,"die Umfrage, -n",
14-15,anvertrauen,
14-15,jemandem etwas ausmachen,
14-15,bezeichnen,
14-15,"sich verlassen auf (+Akk.), verließ, hat verlassen",
14-15,"verstehen unter (+Dat.), verstand, hat verstanden",
14-15,hin- und hergerissen sein,
14-15,"(sich) aus den Augen verlieren, verlor, hat verloren",
14-15,einerseits – andererseits,
14-15,entweder – oder,
14-15,nicht nur – sondern auch,
14-15,sowohl – als auch,
14-15,weder – noch,
14-15,zwar – aber,
16-17,"der Auftrag, -¨e",
16-17,"in Auftrag geben, gab, hat gegeben",
16-17,die Daten (Pl.),
16-17,Daten auswerten,
16-17,Daten erfassen,
16-17,die Erdbevölkerung (Sg.),
16-17,"der Fakt, -en",
16-17,"die Freundschatsanfrage, -n",
16-17,"der Nutzer, -",
16-17,"die Redensart, -en",
16-17,ermöglichen,
16-17,vernetzt sein,
16-17,"über sechs Ecken kennen, kannte, hat gekannt",
16-17,mittlerweile,
18-19,,
