guid,Front,Back,tags
%eb&O&Z8SY,"die Herkunft (Sg.)",origin,"Lektion_1 Einstieg"
1Y{%7/U0zB,"das Motiv, -e",motif,"Lektion_1 Einstieg"
<Vqr&PgGVZ,"entwerfen, entwarf, hat entworfen","to create, to design","Lektion_1 Einstieg"
68tr!XW=go,kommentieren,"to comment","Lektion_1 Einstieg"
Yq=Vc|CK[o,"die Alternative, -n",alternative,"Lektion_1 Sprechen_1"
SaBOC8Eg>n,"die Aufzählung, -en",enumeration,"Lektion_1 Sprechen_1"
UA2&.We4OA,"die Einschränkung, -en",restriction,"Lektion_1 Sprechen_1"
2!oU^ijYe?,"der Gegensatz, -¨e","contrast, contradiction","Lektion_1 Sprechen_1"
:7)V~xw81y,"der Geschmack, -¨er",taste,"Lektion_1 Sprechen_1"
3y)GWWk6dc,"denselben Geschmack haben","to have the same taste","Lektion_1 Sprechen_1"
TdNH5zeB/M,"das Missverständnis, -se",misunderstanding,"Lektion_1 Sprechen_1"
2`2Pt2ZTv8,"die Neuigkeit, -en",news,"Lektion_1 Sprechen_1"
RxqqL^(0p@,"Neuigkeiten austauschen","to exchange news","Lektion_1 Sprechen_1"
/e|JC;A/<K,"die Umfrage, -n","survey, poll","Lektion_1 Sprechen_1"
7|+l*MC@?B,anvertrauen,"to confide, to entrust","Lektion_1 Sprechen_1"
NkOb3}Zhib,"jemandem etwas ausmachen","to bother someone, [does] someone mind","Lektion_1 Sprechen_1"
1P|D(F9h{z,bezeichnen,"to denote, to refer to","Lektion_1 Sprechen_1"
"O9%i{/,nQ:","sich verlassen auf (+Akk.), verließ, hat verlassen","to rely on","Lektion_1 Sprechen_1"
U~}79vgV9%,"verstehen unter (+Dat.), verstand, hat verstanden","to be understood as","Lektion_1 Sprechen_1"
;)D>SN+0$x,"hin- und hergerissen sein","to be torn [between]","Lektion_1 Sprechen_1"
