die Ankunft,arrival,,"AB 9, 2"
annehmen,"to assume, to suppose",,"AB 9, 2"
benehmen,to behave,,"AB 9, 2"
gelten,"to count, to be valid, to be in effect",,"AB 10, 3b"
ab und zu,"every now and then, from time to time",,"KB 14, 2"
befreunden,to befriend,,
neulich,"newly, recently",,
die Kette,chain,,
abreißen,to tear off,,
häufig,often,,
denselben,the same,,
inhaltlich,contentwise,,"AB 10, 3b"
die Ankündigung,announcement,Lektion_1 Hören,
der Wert,"value, worth",Lektion_1 Hören,
die Verwirrung,confusion,Lektion_1 Hören,
feststellen,"to notice, to determine",,
erfahren,"to learn, to experience",,
abbrechen,"to break off, to disconnect",,
der Studienzweck (Pl.),studying purpose (pl.),Lektion_1 Lesen,
ehrlich,honest,,
der Zufall,coincidence,Lektion_1 Sehen_und_Hoeren,
irgendwer,someone/anyone,Lektion_1 Sehen_und_Hoeren,
der Typ,guy,Lektion_1 Sehen_und_Hoeren,
da vorn,up there,Lektion_1 Sehen_und_Hoeren,
stoßen,to shove/push (someone),Lektion_1 Sehen_und_Hoeren,
genial,brilliant/genius,Lektion_1 Sehen_und_Hoeren,
drehen,turn/twist,Lektion_1 Sehen_und_Hoeren,
die Haarspange,hairclip,Lektion_1 Sehen_und_Hoeren,
der Wahnsinn,"madness, insanity",Lektion_1 Sehen_und_Hoeren,
dämlich,"dumb, stupid",Lektion_1 Sehen_und_Hoeren,
rutschen,to slide,Lektion_1 Sehen_und_Hoeren,
ausrutschen,to slip,Lektion_1 Sehen_und_Hoeren,
treten,to kick,Lektion_1 Sehen_und_Hoeren,
die Perücke,wig,Lektion_1 Sehen_und_Hoeren,
riesig,"huge, enormous",Lektion_1 Sehen_und_Hoeren,
die Belohnung,reward,Lektion_1 Sehen_und_Hoeren,
kassieren,"to cash, to collect",Lektion_1 Sehen_und_Hoeren,
der Wirbelsturm,"tornado, hurricane",Lektion_1 Sehen_und_Hoeren,
verhindern,to prevent,Lektion_1 Sehen_und_Hoeren,
beeinflussen,influence,Lektion_1 Sehen_und_Hoeren,
das Ereignis,event,Lektion_1 Sprechen,
aufrichtig,upright,Lektion_1 Sprechen,
die Anteilnahme,"condolence, sympathy",Lektion_1 Sprechen,
die Geborgenheit,"emotional security, safety",Lektion_1 Sprechen,
die Gemeinsamkeit,similarity,Lektion_2 Einstieg,
abgebildet,"depicted, pictured",Lektion_2 Sprechen_1,
gründen,"to found, establish",Lektion_2 Sprechen_1,
erarbeiten,"to develop, to work [sth.] out",Lektion_2 Sprechen_1,
das Verpackungskonzept,packaging concept,Lektion_2 Sprechen_1,
die Aufschrift,"label, inscription",Lektion_2 Sprechen_1,
der/die Angestellte/-,employee,Lektion_2 Sprechen_1,
die Verkehrsgesellschaft,transport company,Lektion_2 Sprechen_1,
renovieren,to renovate,Lektion_2 Sprechen_1,
ungewöhnlich,"unusual, odd",Lektion_2 Sprechen_1,
indisch,indian,Lektion_2 Sprechen_1,
der/die Ladenbesitzer/-in,shop owner,Lektion_2 Sprechen_1,
verteilen,"to distribute, to spread",Lektion_2 Sprechen_1,
die Berufswahl,career choice,Lektion_2 Sprechen_1,
[in einer Firma] tätig sein,to work [at a company],Lektion_2 Sprechen_1,
der/die Auszubildende,"apprentice, trainee",Lektion_2 Wortschatz,
festlegen,"to determinne, to decide, to specify",Lektion_2 Wortschatz,
erledigen,"to do, to carry out",Lektion_2 Wortschatz,
recherchieren,to research,Lektion_2 Wortschatz,
verhandeln,"to negotiate, to debate",Lektion_2 Wortschatz,
erstellen,to create,Lektion_2 Wortschatz,
benennen,"to name, to label, to designate",Lektion_2 Wortschatz,
(sich) an jemand wenden,"to turn to [sb.], to call on [sb.]",Lektion_2 Hören,
entspannen,to relax,Lektion_2 Hören,
die Veränderung,"change, modification",Lektion_2 Hören,
reagieren,to react,Lektion_2 Hören,
anstrengend,"strenuous, demanding, exhausting",Lektion_2 Hören,
der/die Geschäftsführer/in,business executive,Lektion_2 Hören,
sogenannt,so-called,Lektion_2 Hören,
die Wirkung,effect,Lektion_2 Hören,
"solcher, solches, solche, solch",such,Lektion_2 Hören,
unterstützen,to support,Lektion_2 Hören,
herstellen,"to manufacture, to produce",Lektion_2 Hören,
betreuen,"to supervise, to mentor",Lektion_2 Lesen_1,
deren,"whose, her/their",Lektion_2 Lesen_1,
verfassen,"to write, to draft",Lektion_2 Lesen_1,
aussehen,to look [+adj],Lektion_2 Lesen_1,
der Werbespot,commercial,Lektion_2 Lesen_1,
fröhlich,"cheerful, merry, happy",Lektion_2 Lesen_1,
