guid,German,English,tags
,die Aufschrift,,Lektion_2 Lesen_1
,aufschreibenn,,Lektion_2 Lesen_1
,die Ausgabe,,Lektion_2 Lesen_1
,ausgeben,,Lektion_2 Lesen_1
,der Umzug,,Lektion_2 Lesen_1
,umziehen,,Lektion_2 Lesen_1
,der Umsatz,,Lektion_2 Lesen_1
,umsetzen,,Lektion_2 Lesen_1
,der Rückblick,,Lektion_2 Lesen_1
,zurückblicken,,Lektion_2 Lesen_1
,abfliegen,,Lektion_2 Lesen_1
,der Abflug,,Lektion_2 Lesen_1
,absagen,,Lektion_2 Lesen_1
,die Absage,,Lektion_2 Lesen_1
,abschließen,,Lektion_2 Lesen_1
,der Abschluss,,Lektion_2 Lesen_1
,aufgeben,,Lektion_2 Lesen_1
,die Aufgabe,,Lektion_2 Lesen_1
,aufnehmen,,Lektion_2 Lesen_1
,die Aufnahme,,Lektion_2 Lesen_1
,ausdrucken,,Lektion_2 Lesen_1
,der Ausdruck,,Lektion_2 Lesen_1
,ausgeben,,Lektion_2 Lesen_1
,die Ausgabe,,Lektion_2 Lesen_1
,hinweisen,,Lektion_2 Lesen_1
,der Hinweis,,Lektion_2 Lesen_1
,zurückfahren,,Lektion_2 Lesen_1
,die Rückfahrt,,Lektion_2 Lesen_1
,umtauschen,,Lektion_2 Lesen_1
,der Umtausch,,Lektion_2 Lesen_1
